Date_of_measurement,Indicator_category,Indicator,Sample_size,Value,Normalised_Value
2020-09-28,Naleving,Bij_klachten_blijf_thuis,929,46.1,0.0496232508073197
2020-09-28,Naleving,Bij_klachten_laat_testen,1012,32.2,0.03181818181818182
2020-09-28,Naleving,Houd_1_5m_afstand,4966,61.6,0.012404349577124446
2020-09-28,Naleving,Ontvang_max_bezoekers_thuis,5025,97.3,0.01936318407960199
2020-09-28,Naleving,Vermijd_drukke_plekken,5025,63.3,0.012597014925373134
2020-09-28,Naleving,Was_vaak_je_handen,5026,36.1,0.007182650218861919
2020-09-28,Zorgen,Zorgen_over_Coronavirus,5026,66.3,0.013191404695582968
2020-10-19,Naleving,Bij_klachten_blijf_thuis,691,40.7,0.05890014471780029
2020-10-19,Naleving,Bij_klachten_laat_testen,1120,42.0,0.0375
2020-10-19,Naleving,Draag_mondkapje_in_publieke_binnenruimtes,4963,60.6,0.012210356639129559
2020-10-19,Naleving,Hoest_niest_in_elleboog,4474,61.8,0.013813142601698703
2020-10-19,Naleving,Houd_1_5m_afstand,5164,64.8,0.01254841208365608
2020-10-19,Naleving,Ontvang_max_bezoekers_thuis,5261,96.0,0.018247481467401634
2020-10-19,Naleving,Thuisgewerkte_uren,1917,66.6,0.03474178403755868
2020-10-19,Naleving,Vermijd_drukke_plekken,5262,70.3,0.013359939186621057
2020-10-19,Naleving,Was_vaak_je_handen,5262,36.2,0.006879513492968454
2020-10-19,Naleving,Werkt_thuis,3589,70.9,0.0197548063527445
2020-10-19,Zorgen,Zorgen_over_Coronavirus,5262,64.6,0.01227670087419232
2020-11-09,Naleving,Bij_klachten_blijf_thuis,524,44.0,0.08396946564885496
2020-11-09,Naleving,Bij_klachten_laat_testen,891,44.4,0.04983164983164983
2020-11-09,Naleving,Draag_mondkapje_in_publieke_binnenruimtes,4612,69.8,0.015134431916738942
2020-11-09,Naleving,Hoest_niest_in_elleboog,4088,61.3,0.014995107632093933
2020-11-09,Naleving,Houd_1_5m_afstand,4810,64.5,0.01340956340956341
2020-11-09,Naleving,Ontvang_max_bezoekers_thuis,4890,93.5,0.019120654396728016
2020-11-09,Naleving,Thuisgewerkte_uren,1667,64.3,0.03857228554289142
2020-11-09,Naleving,Vermijd_drukke_plekken,4888,71.9,0.014709492635024551
2020-11-09,Naleving,Was_vaak_je_handen,4890,35.1,0.007177914110429448
2020-11-09,Naleving,Werkt_thuis,3126,70.3,0.022488803582853486
2020-11-09,Zorgen,Zorgen_over_Coronavirus,4890,58.5,0.01196319018404908
2020-11-30,Naleving,Bij_klachten_blijf_thuis,541,44.2,0.08170055452865065
2020-11-30,Naleving,Bij_klachten_laat_testen,924,45.3,0.04902597402597402
2020-11-30,Naleving,Draag_mondkapje_in_ov,720,98.4,0.1366666666666667
2020-11-30,Naleving,Draag_mondkapje_in_publieke_binnenruimtes,4730,71.6,0.015137420718816066
2020-11-30,Naleving,Hoest_niest_in_elleboog,4153,61.6,0.014832651095593547
2020-11-30,Naleving,Houd_1_5m_afstand,4913,64.9,0.013209851414614289
2020-11-30,Naleving,Ontvang_max_bezoekers_thuis,4976,95.2,0.019131832797427653
2020-11-30,Naleving,Thuisgewerkte_uren,1722,64.3,0.03734030197444831
2020-11-30,Naleving,Vermijd_drukke_plekken,4976,73.9,0.014851286173633441
2020-11-30,Naleving,Was_vaak_je_handen,4976,33.4,0.006712218649517684
2020-11-30,Naleving,Werkt_thuis,3216,69.8,0.021703980099502487
2020-11-30,Zorgen,Zorgen_over_Coronavirus,4976,56.3,0.011314308681672025
2020-12-14,Naleving,Bij_klachten_blijf_thuis,559,47.7,0.0853309481216458
2020-12-14,Naleving,Bij_klachten_laat_testen,1016,50.9,0.05009842519685039
2020-12-14,Naleving,Draag_mondkapje_in_ov,722,97.8,0.13545706371191135
2020-12-14,Naleving,Draag_mondkapje_in_publieke_binnenruimtes,4970,82.0,0.016498993963782696
2020-12-14,Naleving,Hoest_niest_in_elleboog,4451,62.8,0.0141091889463042
2020-12-14,Naleving,Houd_1_5m_afstand,5209,65.1,0.012497600307160682
2020-12-14,Naleving,Ontvang_max_bezoekers_thuis,5294,96.6,0.018247072157159046
2020-12-14,Naleving,Thuisgewerkte_uren,1806,65.6,0.03632336655592469
2020-12-14,Naleving,Vermijd_drukke_plekken,5294,73.4,0.01386475255005667
2020-12-14,Naleving,Was_vaak_je_handen,5294,34.8,0.0065734794106535694
2020-12-14,Naleving,Werkt_thuis,3369,71.0,0.021074502819827843
2020-12-14,Zorgen,Zorgen_over_Coronavirus,5294,62.6,0.011824707215715905
2021-01-04,Naleving,Bij_klachten_blijf_thuis,501,49.5,0.09880239520958084
2021-01-04,Naleving,Bij_klachten_laat_testen,924,50.0,0.05411255411255411
2021-01-04,Naleving,Draag_mondkapje_in_ov,510,98.3,0.1927450980392157
2021-01-04,Naleving,Draag_mondkapje_in_publieke_binnenruimtes,4480,85.1,0.01899553571428571
2021-01-04,Naleving,Hoest_niest_in_elleboog,4229,62.5,0.01477890754315441
2021-01-04,Naleving,Houd_1_5m_afstand,4898,67.0,0.013679052674561045
2021-01-04,Naleving,Ontvang_max_bezoekers_thuis,4971,90.7,0.01824582578957956
2021-01-04,Naleving,Thuisgewerkte_uren,1728,70.2,0.040625
2021-01-04,Naleving,Vermijd_drukke_plekken,4971,75.9,0.015268557634278819
2021-01-04,Naleving,Was_vaak_je_handen,4971,32.3,0.006497686582176624
2021-01-04,Naleving,Werkt_thuis,3107,72.7,0.023398776955262313
2021-01-04,Zorgen,Zorgen_over_Coronavirus,4971,63.1,0.012693623013478175
2021-01-25,Naleving,Avondklok,4965,94.1,0.018952668680765356
2021-01-25,Naleving,Bij_klachten_blijf_thuis,411,52.9,0.12871046228710462
2021-01-25,Naleving,Bij_klachten_laat_testen,700,43.4,0.062
2021-01-25,Naleving,Draag_mondkapje_in_ov,526,97.6,0.18555133079847907
2021-01-25,Naleving,Draag_mondkapje_in_publieke_binnenruimtes,4537,84.4,0.01860260083755786
2021-01-25,Naleving,Hoest_niest_in_elleboog,4108,63.1,0.015360272638753652
2021-01-25,Naleving,Houd_1_5m_afstand,4874,66.9,0.013725892490767338
