Date_statistics,Number of new cases,c1_school_closing,c2_workplace_closing,c3_cancel_public_events,c4_restrictions_on_gatherings,c5_close_public_transport,c6_stay_at_home_requirements,c7_movement_restriction,c8_international_travel,h1_public_information_campaigns,h2_testing_policy,h3_contact_tracing,h6_facial_coverings,h7_vaccination_policy,h8_protection_of_elderly_people
2020-01-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-27,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-01-29,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-01-31,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-02-01,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-02-03,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-02-06,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-02-07,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-02-10,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-02-11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-02-12,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-02-13,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-02-14,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-02-15,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-02-16,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-02-17,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-02-18,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-02-19,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-02-20,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-02-21,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-02-22,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-02-23,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-02-24,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-02-25,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-02-26,33,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-02-27,64,0,0,0,0,0,0,0,0,1,1,2,0,0,0
2020-02-28,69,0,0,0,0,0,0,0,0,1,1,2,0,0,0
2020-02-29,65,0,0,0,0,0,0,0,0,1,1,2,0,0,0
2020-03-01,135,0,0,0,0,0,0,0,0,1,1,2,0,0,0
2020-03-02,144,0,0,0,0,0,0,0,0,1,1,2,0,0,0
2020-03-03,127,0,0,0,0,0,0,0,0,1,1,2,0,0,0
2020-03-04,140,0,0,0,0,0,0,0,0,1,1,2,0,0,0
2020-03-05,166,0,0,0,0,0,0,0,0,1,1,2,0,0,0
2020-03-06,202,0,0,0,0,0,0,0,0,2,1,2,0,0,0
2020-03-07,239,0,0,0,0,0,0,0,0,2,1,2,0,0,0
2020-03-08,243,0,0,0,0,0,0,0,0,2,1,2,0,0,0
2020-03-09,446,0,0,0,0,0,0,0,0,2,1,2,0,0,1
2020-03-10,420,0,0,2,1,0,0,0,0,2,1,2,0,0,1
2020-03-11,528,0,0,2,1,0,0,0,0,2,1,2,0,0,1
2020-03-12,577,1,2,2,3,0,1,0,0,2,1,1,0,0,1
2020-03-13,677,1,2,2,3,0,1,0,3,2,1,1,0,0,1
2020-03-14,694,1,2,2,3,0,1,0,3,2,1,1,0,0,1
2020-03-15,759,1,2,2,3,0,1,0,3,2,1,1,0,0,1
2020-03-16,1057,3,2,2,3,0,1,0,3,2,1,1,0,0,1
2020-03-17,827,3,2,2,3,0,1,0,3,2,1,1,0,0,1
2020-03-18,863,3,2,2,3,0,1,0,3,2,1,1,0,0,1
2020-03-19,825,3,2,2,3,0,1,0,3,2,1,1,0,0,1
2020-03-20,1000,3,2,2,3,0,1,0,3,2,1,1,0,0,3
2020-03-21,874,3,2,2,3,0,1,0,3,2,1,1,0,0,3
2020-03-22,749,3,2,2,3,0,1,0,3,2,1,1,0,0,3
2020-03-23,1201,3,2,2,4,1,2,1,3,2,1,1,0,0,3
2020-03-24,968,3,2,2,4,1,2,1,3,2,1,1,0,0,3
2020-03-25,1034,3,2,2,4,1,2,1,3,2,1,1,0,0,3
2020-03-26,948,3,2,2,4,1,2,1,3,2,1,1,0,0,3
2020-03-27,1067,3,2,2,4,1,2,1,3,2,1,1,0,0,3
2020-03-28,864,3,2,2,4,1,2,1,3,2,1,1,0,0,3
2020-03-29,801,3,2,2,4,1,2,1,3,2,1,1,0,0,3
2020-03-30,1124,3,2,2,4,1,2,1,3,2,1,1,0,0,3
2020-03-31,853,3,2,2,4,1,2,1,3,2,1,1,0,0,3
2020-04-01,1120,3,2,2,4,1,2,1,3,2,1,1,0,0,3
2020-04-02,1026,3,2,2,4,1,2,1,3,2,1,1,0,0,3
2020-04-03,1052,3,2,2,4,1,2,1,3,2,1,1,0,0,3
2020-04-04,999,3,2,2,4,1,2,1,3,2,1,1,0,0,3
2020-04-05,787,3,2,2,4,1,2,1,3,2,1,1,0,0,3
2020-04-06,1151,3,2,2,4,1,2,1,3,2,1,1,0,0,3
2020-04-07,998,3,2,2,4,1,2,1,3,2,1,1,0,0,3
2020-04-08,1037,3,2,2,4,1,2,1,3,2,1,1,0,0,3
2020-04-09,900,3,2,2,4,1,2,1,3,2,1,1,0,0,3
2020-04-10,997,3,2,2,4,1,2,1,3,2,1,1,0,0,3
2020-04-11,833,3,2,2,4,1,2,1,3,2,1,1,0,0,3
2020-04-12,739,3,2,2,4,1,2,1,3,2,1,1,0,0,3
2020-04-13,774,3,2,2,4,1,2,1,3,2,1,1,0,0,3
2020-04-14,756,3,2,2,4,1,2,1,3,2,1,1,0,0,3
2020-04-15,747,3,2,2,4,1,2,1,3,2,1,1,0,0,3
2020-04-16,703,3,2,2,4,1,2,1,3,2,1,1,0,0,3
